doi,pmid,year,title,journal,authorString,citedBy,query,abstract
10.1080/10717544.2026.2645830,41863079,2026,Overcoming the blood‒brain barrier: nanomedicine strategies for targeted delivery and multimodal therapy in Alzheimer's disease.,Drug delivery,"Li J, Guo L, Cai W, Mei J, Liu J, Liu Y.",0,microglia subtypes single-cell markers [recent],"Alzheimer's disease (AD) remains a significant therapeutic challenge, primarily because the formidable blood‒brain barrier (BBB), which drastically limits the brain bioavailability of most drugs. Nanoparticle-based drug delivery systems offer a promising strategy to overcome this central obstacle. This review systematically examines the design, mechanisms, and applications of nanomedicine in AD therapy. We analyze key strategies for enhancing BBB penetration through surface engineering and the utilization of various nanocarriers, including liposomes, exosomes, dendrimers, and carbon dots. Furthermore, we discuss how stimuli-responsive release mechanisms (e.g. responsive to pH, enzymes, reactive oxygen species, light, or ultrasound) enable targeted and precise drug delivery. A critical focus is placed on how these multifunctional nanoplatforms can address multiple AD pathogenic pathways simultaneously, such as amyloid-β and tau aggregation, cholinergic dysfunction, oxidative stress, neuroinflammation, and gut‒brain axis dysregulation. Although preclinical evidence is compelling, the clinical translation of these nanotherapies is hindered by challenges related to long-term biocompatibility, scalable manufacturing, patient heterogeneity, and regulatory frameworks. This review highlights the translational potential of nanomedicine in AD treatment while outlining the key hurdles that must be addressed for its successful implementation."
10.1080/07853890.2026.2620329,41787814,2026,Advances in calcium signalling research for the diagnosis and treatment of depression.,Annals of medicine,"Li L, Yao M, Meng J, Zhong Z, Nan N, Kazemi AH, Guo J, Liu C, Jiang Y.",2,microglia subtypes single-cell markers [recent],"<h4>Background</h4>The increasing global burden of depression underscores the need for novel therapeutic strategies beyond conventional antidepressants such as selective serotonin reuptake inhibitors and serotonin-norepinephrine reuptake inhibitors. Given the substantial role of calcium signaling in the pathogenesis of psychiatric disorders, this review examines its critical involvement in depression to guide future research and clinical advancements.<h4>Results</h4>We describe the activation mechanisms of key calcium pathways, including voltage-gated channels, N-methyl-D-aspartate receptor-gated channels, endoplasmic reticulum-mediated release, and store-operated calcium entry, and summarize evidence of their dysregulation in clinical depression and animal models.Furthermore, we discuss the potential of calcium signaling as a diagnostic and prognostic biomarker, highlighting how emerging insights in this field may support the development of targeted antidepressant therapies.<h4>Conclusions</h4>This review indicates that calcium signaling demonstrates potential as a diagnostic biomarker and a basis for targeted antidepressant therapies."
10.1080/07853890.2026.2636340,41758238,2026,Single-cell RNA sequencing analysis of bone cancer pain model induced by Lewis lung cancer cells in male mice.,Annals of medicine,"Zhou Q, Chen J, Wang H, Jin R, Paerhati H, Zhu X, Dong G, Zhang M, Jiang F.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>Bone cancer pain (BCP) is one of the most severe complications faced by cancer patients, with complex physiological and pathological mechanisms and unclear molecular characteristics.<h4>Methods</h4>The BCP model was established by inoculating Lewis lung cancer cells into the femur to induce hyperalgesia and spontaneous pain. Single-cell RNA sequencing technology was used to characterize the cell composition and molecular features of the L2-L4 spinal cord after BCP modelling.<h4>Results</h4>Our research results identified a total of 10 cell types, namely excitatory neurons, inhibitory neurons, oligodendrocytes, oligodendrocyte precursor cells, Schwann cells, astrocytes, microglia, endothelial cells, fibroblasts, and pericytes. RNA sequencing analysis of the BCP model showed that the proportion of cells in the L2-L4 spinal cord changed significantly, with microglia increased by 45% and oligodendrocytes increased by 43%. Then, data were extracted from microglia, oligodendrocytes, blood-spinal cord barrier component cells (endothelial cells, pericytes, astrocytes), excitatory neurons, and inhibitory neurons, and differential genes were analysed and further enriched. The results suggest that the signalling pathways related to pain perception and transmission and promoting inflammation in the above cells have changed significantly. Finally, this study revealed the interaction between L2-L4 spinal cord cells in BCP.<h4>Conclusions</h4>These data help to understand the molecular mechanism changes caused by BCP and contribute to the development of new treatment methods."
10.1080/10717544.2026.2636323,41742445,2026,"Unlocking the ""undruggable"": current landscape and emerging frontiers in lysosomal receptor-mediated protein degradation.",Drug delivery,"Ma YM, Xia HF, Xiao YL, Yu ZL.",0,microglia subtypes single-cell markers [recent],"Extracellular and membrane-associated proteins are essential in signal transmission, immunological control, and disease pathogenesis; nonetheless, their 'undruggable' characteristics have historically impeded drug discovery. The targeted protein degradation (TPD) technologies provide innovative solutions to address this dilemma. Despite the rapid advancement of techniques such as Proteolysis-targeting chimera (PROTACs) that utilize the Ubiquitin-proteasome system (UPS), their applicability is limited to intracellular proteins. Lysosome-targeting chimeras (LYTACs), utilizing the endocytosis-lysosomal route, facilitate the selective degradation of secreted and transmembrane proteins, thereby considerably broadening the target spectrum of TPD. Since its inception in 2020, the LYTAC platform has consistently progressed, incorporating several Lysosome-targeting receptor (LTR) targeting techniques and innovative delivery vehicles, including aptamers, peptides, and nanoparticles. It has exhibited promise in oncology, neurological conditions, and immune-mediated disorders. Nevertheless, LYTAC encounters several obstacles, such as intricate ligand design, potential immunogenicity, inadequate tissue selectivity, and restricted clinical validation. Platforms and tactics designed to improve degrading efficiency, broaden disease applicability, and facilitate clinical translation signify interesting research avenues in this domain. This paper presents a thorough evaluation of the research advancements and application potential of LYTAC technology, while examining significant limitations and future direction of development."
10.1080/20008066.2026.2619389,41665627,2026,Immune-related biomarkers for major depressive disorder identified via integrated bioinformatics and machine learning.,European journal of psychotraumatology,"Zhang Y, Wu P, Nie Z, Liu Z.",0,microglia subtypes single-cell markers [recent],"<b>Background:</b> Major depressive disorder (MDD) is a leading cause of disability worldwide, yet its early and objective diagnosis remains challenging due to the lack of reliable biomarkers. Recent advances in high-throughput transcriptomics and machine learning provide new opportunities for systematic biomarker discovery.<b>Methods:</b> We integrated gene expression datasets from the Gene Expression Omnibus (GEO) to identify differentially expressed genes (DEGs) in MDD. Functional enrichment analyses were performed to explore biological relevance. To enhance robustness, two complementary machine learning algorithms - LASSO and SVM-RFE - were applied to screen candidate biomarkers. Diagnostic performance was assessed using receiver operating characteristic (ROC) curve analysis. Immune relevance was examined by CIBERSORT and validated in single-cell RNA sequencing (scRNA-seq) data. Finally, expression of hub genes was experimentally verified in a chronic unpredictable mild stress (CUMS) rat model.<b>Results:</b> A total of 122 DEGs were identified, primarily enriched in immune and inflammatory pathways. Four hub genes - <i>DDIT4</i>, <i>DHRS9, FKBP5</i>, and <i>GPER</i> - were consistently selected across machine learning approaches. These genes exhibited strong diagnostic accuracy (AUC values ranging from 0.82-0.91) and were predominantly expressed in immune cell populations. scRNA-seq further confirmed their upregulation in specific immune cell subtypes. Experimental validation showed significantly elevated expression of these genes in the prefrontal cortex of depressed rats.<b>Conclusion:</b> This study identifies <i>DDIT4</i>, <i>DHRS9</i>, <i>FKBP5</i>, and <i>GPER</i> as immune-related biomarkers with high diagnostic potential for MDD. By integrating bioinformatics, machine learning, and experimental validation, our work provides novel insights into the immune mechanisms underlying MDD and establishes a translational framework for precision diagnosis and pers"
10.1080/07853890.2026.2625543,41656918,2026,A review of preclinical research on mechanically gated ion channels as therapeutic targets in neuropathic pain.,Annals of medicine,"Xie Y, Wang X, Ju J, Hang L.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>Neuropathic pain (NP), resulting from damage or disease affecting the somatosensory nervous system, severely impairs patients' quality of life and constitutes a substantial global disease burden. Recent evidence highlights the critical involvement of mechanosensitive ion channels in peripheral nociception.<h4>Discussion</h4>This review systematically examines the roles of key mechanosensitive channels in NP pathophysiology. TRPV4 mediates mechanical allodynia via ion flux modulation and neuroinflammation; TRPC6 enhances neuronal excitability through calcium dynamics and MAPK/mTOR signaling; TRPA1 regulates pain through neuronal and Schwann cell mechanisms involving the NOX1-oxidative stress-CXCL1 axis and myelin disruption; TREK channels attenuate pain by stabilizing resting membrane potential; TMEM family members modulate neuroimmune signaling; and Piezo2 critically contributes to mechanical and inflammatory hypersensitivity. These mechanisms reveal significant translational potential for analgesic development.<h4>Conclusions</h4>Targeted modulation of mechanosensitive ion channels represents a promising strategy for developing effective, non-addictive analgesics. This review establishes a theoretical foundation for understanding NP pathophysiology and identifies actionable therapeutic targets with substantial clinical relevance."
10.1080/19585969.2026.2622722,41646005,2026,"Current potential biomarkers for Alzheimer's disease, Parkinson's disease and amyotrophic lateral sclerosis: review of literature.",Dialogues in clinical neuroscience,"Peng J, Fan T, Wang J, Deng Y, Xu R.",0,microglia subtypes single-cell markers [recent],"<h4>Introduction</h4>Alzheimer's disease (AD), Parkinson's disease (PD) and amyotrophic lateral sclerosis (ALS) are several common neurodegenerative diseases (NDs). At present, is the lack of effective diagnosis, progression, prognosis and therapeutic biomarkers. it is a urgent demand to search the relevant confident biomarkers.<h4>Area covered</h4>This review systematically analysed the potential biomarkers of blood, cerebrospinal fluid, neuroimaing and emerging non-invasive indicators, and synthesises current evidences on the biomarkers of AD, PD and ALS about diagnosis, progression, prognosis and therapeutic, especially diagnosis biomarkers.<h4>Expert commentary</h4>In this review, we focus on discussing relevant diagnosis, progression, prognosis and therapeutic biomarkers for AD, PD and ALS in recent years, and prospecting the possible future directions of relevant biomarkers."
10.1080/19336918.2026.2624204,41627832,2026,Research on tissue-resident macrophages in the field of cancer research: a bibliometric analysis from 2004 to 2025.,Cell adhesion & migration,"Song Q, Yu Z, Lu W, Chi Q.",0,microglia subtypes single-cell markers [recent],"In the tumor microenvironment, tissue-resident macrophages (TRMs) promote malignant tumor progression, yet their tissue-specific heterogeneity and complex functions bring research challenges. This study analyzes the research status and trends of TRMs in oncology. Via VOSviewer, CiteSpace, R software and WoSCC, a visual bibliometric network was built for quantitative analysis, with future research directions explored in depth. The US leads in publications and academic influence, and the University of Washington tops in paper output. Research focuses on TRMs' origin, classification and tumor microenvironment functions; microglia and Kupffer cells are the most studied subsets. Current research centers on pathway exploration, immunotherapy and single-cell sequencing. This study summarizes TRMs' research status, hotspots and trends in oncology, providing valuable insights for relevant collaborators and institutions."
10.1080/19490976.2026.2623349,41612972,2026,&lt;i&gt;&lt;b&gt;Muribaculum intestinale&lt;/b&gt;&lt;/i&gt; &lt;b&gt;negatively impacts glioma growth in mice through the toll-like receptor 2&lt;/b&gt;.,Gut microbes,"Marrocco F, Cocozza G, Antonangeli F, Khan R, Pietropaolo G, Elkihel A, Favaretto G, Lin X, Mancinelli R, Busdraghi LM, Reccagni A, Scarno G, Sciumè G, Laffranchi M, Peng L, Iebba V, Sozzani S, D'Alessandro G, Limatola C.",2,microglia subtypes single-cell markers [recent],"Glioblastoma (GBM) is the most common and malignant brain tumor in adult humans. Recent studies have demonstrated a link between the composition of the gut microbiota and glioma progression. Here, we describe that the growth of glioma in mice is inversely correlated with the relative abundance of the anaerobic bacterium <i>Muribaculum intestinale</i> in the feces. We found that <i>M. intestinale</i> administration: 1) induced an inflammatory environment in the gut; 2) reduced glioma growth; 3) increased the pro-inflammatory profile of tumor-associated microglial cells and the frequency of CD8+ T cells; and 4) increased the peripheral TNF-<i>α</i> levels. The effects induced by <i>M. intestinale</i> administration were significantly attenuated upon toll-like receptor 2 (TLR2) silencing using TLR2-targeting siRNA. As a pattern-recognition receptor, TLR2 detects microbial-associated molecular patterns and orchestrates host immune responses to infection. Collectively, these data demonstrate that <i>M. intestinale</i> induces a pro-inflammatory response in glioma bearing mice, inhibiting tumor growth via TLR2-dependent signaling."
10.1080/07853890.2026.2620337,41601146,2026,Neuroimmune circuits in respiratory pathophysiology: decoding molecular crosstalk for precision therapeutic targeting.,Annals of medicine,"Chen Q, Jia N, Liu J, Xu C, Shen Z, Shi S, Wang F, Wang Z.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>The lung is a uniquely innervated barrier organ with dynamic neuroimmune interactions that critically regulate respiratory homeostasis. Despite the well-characterized gut-brain axis, pulmonary neuroimmune crosstalk remains an underexplored frontier. Emerging evidence implicates dysregulated neuron-immune dialogues as key drivers of respiratory pathologies, yet systematic dissection of their bidirectional mechanisms - from neurogenic immunomodulation to immune-mediated neural plasticity - is lacking.<h4>Main body</h4>This review establishes a hierarchical framework for pulmonary neuroimmune crosstalk. We first delineate the lung's specialized neuroimmune architecture, then synthesize cutting-edge evidence on neuron-immune dialogues across five major respiratory diseases: pulmonary infections, asthma, chronic obstructive pulmonary disease, pulmonary fibrosis and lung cancer. Notably, we identify feedback-regulated circuits encompassing intricate networks mediated by neurotransmitters (e.g. acetylcholine, norepinephrine), neuropeptides (e.g. substance P, CGRP), immune cells (e.g. ILC2s, macrophages, T cells), and cytokines (e.g. TNF-α, IL-1β).<h4>Conclusions</h4>Decoding key molecular targets within the neuroimmune axis provides novel strategies for predicting disease biomarkers (e.g. CGRP in early allergic inflammation) and refining therapeutic interventions (e.g. purposing anti-NGF biologics for neuropathic airway inflammation). This review specifically identifies promising targets - such as CGRP signalling in asthma and infections, and cholinergic pathways in COPD and lung cancer - for next-generation biologics and neuromodulatory therapies. This synthesis bridges neuroimmunology and clinical pulmonology, positioning neuroimmune crosstalk as a promising frontier in precision respiratory medicine and paving the way for an innovative therapeutic paradigm."
